id,topic,difficulty,question,A,B,C,D,answer
41,Agile Model,2,What best describes Agile Model?,iterative and incremental,Hardware installation,Use Case Diagram,Random guessing,A
42,Agile Model,2,Which term is most related to Agile Model?,Bluetooth protocol,sprint,SDLC,System Testing,B
43,Agile Model,2,The main purpose of Agile Model is to:,Use Case Diagram,Cooking recipe,responding to change,Class Diagram,C
44,Agile Model,2,What best describes Agile Model?,iterative and incremental,Version Control,System Testing,CPU scheduling,A
45,Agile Model,2,Which term is most related to Agile Model?,Software Testing,standup,Hardware installation,User interface theme,B
46,Agile Model,3,Which term is most related to Agile Model?,Network routing,sprint,Hardware installation,DNS resolution,B
47,Agile Model,2,Which concept belongs to Agile Model?,Scrum,CPU scheduling,Software Maintenance,UML,A
48,Agile Model,1,What best describes Agile Model?,Scrum,Network routing,iterative and incremental,Integration Testing,C
49,Agile Model,2,Which is NOT related to Agile Model?,Not related,standup,XP,retrospective,A
50,Agile Model,2,What best describes Agile Model?,Database normalization only,SDLC,iterative and incremental,UML,C
51,Agile Model,2,The main purpose of Agile Model is to:,DNS resolution,Sequence Diagram,frequent delivery,Unit Testing,C
52,Agile Model,1,Which concept belongs to Agile Model?,Scrum,DNS resolution,Scrum,Bluetooth protocol,A
53,Agile Model,3,What best describes Agile Model?,UML,iterative and incremental,Scrum,Network routing,B
54,Agile Model,2,What best describes Agile Model?,iterative and incremental,Random guessing,Software Maintenance,Cooking recipe,A
55,Agile Model,2,Which term is most related to Agile Model?,Scrum,Bluetooth protocol,standup,Random guessing,C
56,Agile Model,2,Which concept belongs to Agile Model?,XP,Sequence Diagram,UML,Email SMTP,A
57,Agile Model,1,What best describes Agile Model?,iterative and incremental,Use Case Diagram,Version Control,Cooking recipe,A
58,Agile Model,2,Which is NOT related to Agile Model?,Not related,retrospective,sprint,Scrum,A
59,Agile Model,2,Which concept belongs to Agile Model?,Kanban,Random guessing,UML,Sequence Diagram,A
60,Agile Model,3,Which term is most related to Agile Model?,Software Maintenance,Bluetooth protocol,retrospective,Use Case Diagram,C
61,Agile Model,2,The main purpose of Agile Model is to:,Scrum,Version Control,Network routing,frequent delivery,D
62,Agile Model,2,The main purpose of Agile Model is to:,Cooking recipe,Email SMTP,Random guessing,iterative and incremental,D
63,Agile Model,1,What best describes Agile Model?,SDLC,iterative and incremental,DNS resolution,Database normalization only,B
64,Agile Model,1,The main purpose of Agile Model is to:,UML,frequent delivery,Sequence Diagram,Cooking recipe,B
65,Agile Model,2,Which term is most related to Agile Model?,increment,Software Testing,Use Case Diagram,UML,A
66,Agile Model,1,The main purpose of Agile Model is to:,User interface theme,Scrum,DNS resolution,frequent delivery,D
67,Agile Model,2,Which is NOT related to Agile Model?,XP,standup,Not related,increment,C
68,Agile Model,1,Which is NOT related to Agile Model?,Not related,retrospective,review,backlog,A
69,Agile Model,1,Which is NOT related to Agile Model?,backlog,Scrum,Not related,standup,C
70,Agile Model,1,Which term is most related to Agile Model?,Software Testing,Version Control,sprint,System Testing,C
71,Agile Model,2,Which is NOT related to Agile Model?,retrospective,Not related,review,Scrum,B
72,Agile Model,3,Which concept belongs to Agile Model?,Random guessing,Unit Testing,DNS resolution,Scrum,D
73,Agile Model,2,Which is NOT related to Agile Model?,increment,Not related,retrospective,review,B
74,Agile Model,1,Which term is most related to Agile Model?,Software Maintenance,standup,Network routing,Scrum,B
75,Agile Model,2,Which concept belongs to Agile Model?,CPU scheduling,Database normalization only,Scrum,Version Control,C
76,Agile Model,2,The main purpose of Agile Model is to:,Use Case Diagram,Network routing,frequent delivery,Software Maintenance,C
77,Agile Model,3,The main purpose of Agile Model is to:,UML,DNS resolution,Use Case Diagram,responding to change,D
78,Agile Model,1,Which term is most related to Agile Model?,User interface theme,UML,Unit Testing,backlog,D
79,Agile Model,2,Which term is most related to Agile Model?,review,Bluetooth protocol,UML,CPU scheduling,A
80,Agile Model,3,Which concept belongs to Agile Model?,Kanban,Bluetooth protocol,Random guessing,Email SMTP,A
81,Scrum,1,What best describes Scrum?,Hardware installation,Class Diagram,framework with sprints,CPU scheduling,C
82,Scrum,1,What best describes Scrum?,framework with sprints,Agile Model,Email SMTP,Software Testing,A
83,Scrum,2,Which term is most related to Scrum?,Agile Model,Cooking recipe,Product Backlog,Sequence Diagram,C
84,Scrum,2,The main purpose of Scrum is to:,UML,Bluetooth protocol,framework with sprints,Software Testing,C
85,Scrum,2,Which concept belongs to Scrum?,Sequence Diagram,Hardware installation,Version Control,Backlog,D
86,Scrum,1,Which is NOT related to Scrum?,Sprint,Sprint Planning,Backlog,Not related,D
87,Scrum,3,Which term is most related to Scrum?,System Testing,Class Diagram,Review,Database normalization only,C
88,Scrum,1,What best describes Scrum?,framework with sprints,Sequence Diagram,Hardware installation,Agile Model,A
89,Scrum,3,Which concept belongs to Scrum?,Sequence Diagram,CPU scheduling,Agile Model,DoD,D
90,Scrum,2,Which term is most related to Scrum?,SDLC,Software Testing,Use Case Diagram,Retrospective,D
91,Scrum,3,Which term is most related to Scrum?,Unit Testing,Product Backlog,SDLC,Sequence Diagram,B
92,Scrum,2,Which concept belongs to Scrum?,DoD,Database normalization only,Use Case Diagram,Email SMTP,A
93,Scrum,2,Which term is most related to Scrum?,Sprint Backlog,Bluetooth protocol,Email SMTP,Network routing,A
94,Scrum,3,What best describes Scrum?,Integration Testing,Version Control,framework with sprints,User interface theme,C
95,Scrum,1,What best describes Scrum?,framework with sprints,Agile Model,DNS resolution,System Testing,A
96,Scrum,2,Which concept belongs to Scrum?,Cooking recipe,Sprint,Sequence Diagram,Hardware installation,B
97,Scrum,2,What best describes Scrum?,Software Testing,Class Diagram,DNS resolution,framework with sprints,D
98,Scrum,1,Which concept belongs to Scrum?,Unit Testing,Software Testing,Random guessing,DoD,D
99,Scrum,1,Which concept belongs to Scrum?,User interface theme,Use Case Diagram,Backlog,Software Maintenance,C
100,Scrum,3,Which concept belongs to Scrum?,Hardware installation,DoD,Software Testing,UML,B
101,Scrum,2,Which term is most related to Scrum?,System Testing,Class Diagram,Integration Testing,Product Backlog,D
102,Scrum,2,Which is NOT related to Scrum?,Review,DoD,Retrospective,Not related,D
103,Scrum,2,Which is NOT related to Scrum?,DoD,Review,Not related,Retrospective,C
104,Scrum,1,Which concept belongs to Scrum?,Cooking recipe,DoD,CPU scheduling,Use Case Diagram,B
105,Scrum,2,The main purpose of Scrum is to:,"roles: Product Owner, Scrum Master, Developers",Database normalization only,User interface theme,System Testing,A
106,Scrum,3,Which term is most related to Scrum?,Random guessing,Sequence Diagram,Software Testing,Daily Scrum,D
107,Scrum,1,The main purpose of Scrum is to:,Database normalization only,User interface theme,Use Case Diagram,framework with sprints,D
108,Scrum,2,Which concept belongs to Scrum?,Unit Testing,System Testing,DoD,Bluetooth protocol,C
109,Scrum,1,Which term is most related to Scrum?,Unit Testing,Database normalization only,Increment,Version Control,C
110,Scrum,1,The main purpose of Scrum is to:,framework with sprints,Email SMTP,SDLC,Database normalization only,A
111,Scrum,2,The main purpose of Scrum is to:,Software Maintenance,Random guessing,framework with sprints,SDLC,C
112,Scrum,3,What best describes Scrum?,User interface theme,framework with sprints,System Testing,Bluetooth protocol,B
113,Scrum,2,Which concept belongs to Scrum?,DoD,Software Testing,Integration Testing,Cooking recipe,A
114,Scrum,3,Which is NOT related to Scrum?,Backlog,Product Backlog,Not related,Retrospective,C
115,Scrum,1,What best describes Scrum?,framework with sprints,Random guessing,Integration Testing,UML,A
116,Scrum,2,Which term is most related to Scrum?,Use Case Diagram,UML,User interface theme,Sprint Planning,D
117,Scrum,2,Which term is most related to Scrum?,CPU scheduling,Email SMTP,Agile Model,Sprint Backlog,D
118,Scrum,2,Which concept belongs to Scrum?,Class Diagram,Unit Testing,Sprint,Network routing,C
119,Scrum,2,Which is NOT related to Scrum?,Increment,DoD,Not related,Daily Scrum,C
120,Scrum,1,What best describes Scrum?,SDLC,User interface theme,DNS resolution,framework with sprints,D
121,UML,1,Which is NOT related to UML?,Not related,diagrams,structural,behavioral,A
122,UML,1,Which concept belongs to UML?,Email SMTP,Network routing,Class,Agile Model,C
123,UML,3,Which is NOT related to UML?,diagrams,Not related,behavioral,Sequence,B
124,UML,2,Which is NOT related to UML?,Not related,model,Use Case,behavioral,A
125,UML,2,Which is NOT related to UML?,Not related,Activity,Sequence,Class,A
126,UML,3,Which concept belongs to UML?,DNS resolution,Sequence,SDLC,Random guessing,B
127,UML,1,What best describes UML?,Unified Modeling Language,Cooking recipe,Software Maintenance,Version Control,A
128,UML,2,Which is NOT related to UML?,Activity,Not related,structural,Sequence,B
129,UML,1,The main purpose of UML is to:,Use Case Diagram,User interface theme,Unified Modeling Language,Unit Testing,C
130,UML,2,Which concept belongs to UML?,Version Control,Software Testing,Sequence,SDLC,C
131,UML,1,Which term is most related to UML?,User interface theme,Bluetooth protocol,Sequence Diagram,behavioral,D
132,UML,1,Which term is most related to UML?,Use Case Diagram,Cooking recipe,Agile Model,structural,D
133,UML,1,Which term is most related to UML?,SDLC,Version Control,structural,Software Testing,C
134,UML,1,The main purpose of UML is to:,Class Diagram,standard modeling language,Sequence Diagram,System Testing,B
135,UML,1,Which is NOT related to UML?,model,Not related,Sequence,behavioral,B
136,UML,2,Which is NOT related to UML?,Activity,Use Case,Sequence,Not related,D
137,UML,3,What best describes UML?,Software Maintenance,Unified Modeling Language,Hardware installation,Version Control,B
138,UML,1,Which is NOT related to UML?,Class,Sequence,Not related,Use Case,C
139,UML,2,The main purpose of UML is to:,standard modeling language,Network routing,Cooking recipe,DNS resolution,A
140,UML,2,The main purpose of UML is to:,Version Control,standard modeling language,Database normalization only,Bluetooth protocol,B
141,UML,1,The main purpose of UML is to:,Random guessing,User interface theme,standard modeling language,CPU scheduling,C
142,UML,2,Which concept belongs to UML?,Network routing,DNS resolution,Activity,Database normalization only,C
143,UML,3,What best describes UML?,Use Case Diagram,CPU scheduling,Unified Modeling Language,Software Testing,C
144,UML,3,What best describes UML?,Unified Modeling Language,Class Diagram,Software Maintenance,Sequence Diagram,A
145,UML,2,Which term is most related to UML?,structural,Unit Testing,Email SMTP,CPU scheduling,A
146,UML,2,What best describes UML?,CPU scheduling,Unified Modeling Language,Bluetooth protocol,DNS resolution,B
147,UML,2,Which term is most related to UML?,Sequence Diagram,Unit Testing,structural,Random guessing,C
148,UML,1,Which is NOT related to UML?,Class,Not related,behavioral,Use Case,B
149,UML,2,Which term is most related to UML?,Use Case Diagram,structural,Bluetooth protocol,Email SMTP,B
150,UML,1,Which term is most related to UML?,CPU scheduling,Sequence Diagram,Database normalization only,behavioral,D
151,UML,1,Which concept belongs to UML?,DNS resolution,Use Case,Software Maintenance,Class Diagram,B
152,UML,3,Which term is most related to UML?,diagrams,Database normalization only,Class Diagram,Sequence Diagram,A
153,UML,1,The main purpose of UML is to:,Software Testing,Unified Modeling Language,Scrum,Database normalization only,B
154,UML,3,The main purpose of UML is to:,Random guessing,Integration Testing,Sequence Diagram,Unified Modeling Language,D
155,UML,1,Which concept belongs to UML?,Database normalization only,Activity,Software Testing,Scrum,B
156,UML,2,The main purpose of UML is to:,Random guessing,Email SMTP,SDLC,standard modeling language,D
157,UML,2,Which is NOT related to UML?,diagrams,Activity,Not related,structural,C
158,UML,3,Which concept belongs to UML?,Database normalization only,Activity,Version Control,Email SMTP,B
159,UML,1,What best describes UML?,Software Maintenance,Integration Testing,Random guessing,Unified Modeling Language,D
160,UML,3,Which term is most related to UML?,DNS resolution,Bluetooth protocol,behavioral,Database normalization only,C
161,Use Case Diagram,1,Which term is most related to Use Case Diagram?,system boundary,UML,Database normalization only,CPU scheduling,A
162,Use Case Diagram,1,The main purpose of Use Case Diagram is to:,SDLC,Class Diagram,Scrum,actors and use cases,D
163,Use Case Diagram,3,What best describes Use Case Diagram?,SDLC,Sequence Diagram,Integration Testing,actors and use cases,D
164,Use Case Diagram,1,Which term is most related to Use Case Diagram?,system boundary,Agile Model,Network routing,Software Testing,A
165,Use Case Diagram,3,Which term is most related to Use Case Diagram?,CPU scheduling,Integration Testing,User interface theme,extend,D
166,Use Case Diagram,1,The main purpose of Use Case Diagram is to:,Email SMTP,SDLC,functional requirements,CPU scheduling,C
167,Use Case Diagram,2,What best describes Use Case Diagram?,System Testing,Network routing,Random guessing,actors and use cases,D
168,Use Case Diagram,2,The main purpose of Use Case Diagram is to:,Integration Testing,Sequence Diagram,UML,actors and use cases,D
169,Use Case Diagram,1,Which is NOT related to Use Case Diagram?,Not related,actor,include,generalization,A
170,Use Case Diagram,3,What best describes Use Case Diagram?,SDLC,Cooking recipe,actors and use cases,UML,C
171,Use Case Diagram,2,The main purpose of Use Case Diagram is to:,Sequence Diagram,functional requirements,Random guessing,User interface theme,B
172,Use Case Diagram,3,What best describes Use Case Diagram?,actors and use cases,DNS resolution,Integration Testing,Scrum,A
173,Use Case Diagram,3,Which concept belongs to Use Case Diagram?,Class Diagram,Database normalization only,Network routing,extend,D
174,Use Case Diagram,3,Which concept belongs to Use Case Diagram?,generalization,Class Diagram,UML,Database normalization only,A
175,Use Case Diagram,2,Which concept belongs to Use Case Diagram?,UML,generalization,Software Testing,User interface theme,B
176,Use Case Diagram,1,Which term is most related to Use Case Diagram?,use case,Cooking recipe,Email SMTP,User interface theme,A
177,Use Case Diagram,3,Which term is most related to Use Case Diagram?,actor,Integration Testing,System Testing,Version Control,A
178,Use Case Diagram,2,Which concept belongs to Use Case Diagram?,Version Control,generalization,Agile Model,Integration Testing,B
179,Use Case Diagram,3,Which concept belongs to Use Case Diagram?,Unit Testing,Cooking recipe,include,Bluetooth protocol,C
180,Use Case Diagram,2,Which term is most related to Use Case Diagram?,Unit Testing,Class Diagram,actor,Random guessing,C
181,Use Case Diagram,2,Which term is most related to Use Case Diagram?,Class Diagram,UML,extend,SDLC,C
182,Use Case Diagram,1,Which is NOT related to Use Case Diagram?,actor,Not related,extend,include,B
183,Use Case Diagram,3,Which concept belongs to Use Case Diagram?,Software Testing,generalization,UML,Class Diagram,B
184,Use Case Diagram,1,Which concept belongs to Use Case Diagram?,System Testing,DNS resolution,Network routing,include,D
185,Use Case Diagram,1,The main purpose of Use Case Diagram is to:,DNS resolution,User interface theme,functional requirements,Version Control,C
186,Use Case Diagram,2,The main purpose of Use Case Diagram is to:,Version Control,actors and use cases,Scrum,Bluetooth protocol,B
187,Use Case Diagram,1,What best describes Use Case Diagram?,actors and use cases,Scrum,Integration Testing,Software Testing,A
188,Use Case Diagram,2,Which concept belongs to Use Case Diagram?,User interface theme,UML,include,DNS resolution,C
189,Use Case Diagram,3,The main purpose of Use Case Diagram is to:,Version Control,Scrum,Software Maintenance,functional requirements,D
190,Use Case Diagram,1,Which is NOT related to Use Case Diagram?,use case,Not related,system boundary,actor,B
191,Use Case Diagram,3,Which concept belongs to Use Case Diagram?,Unit Testing,extend,CPU scheduling,Software Testing,B
192,Use Case Diagram,2,Which concept belongs to Use Case Diagram?,generalization,CPU scheduling,Class Diagram,Bluetooth protocol,A
193,Use Case Diagram,1,The main purpose of Use Case Diagram is to:,Software Testing,actors and use cases,Version Control,Agile Model,B
194,Use Case Diagram,2,Which term is most related to Use Case Diagram?,use case,System Testing,Integration Testing,User interface theme,A
195,Use Case Diagram,1,Which is NOT related to Use Case Diagram?,extend,include,Not related,generalization,C
196,Use Case Diagram,2,Which term is most related to Use Case Diagram?,use case,Email SMTP,Integration Testing,Software Testing,A
197,Use Case Diagram,3,Which is NOT related to Use Case Diagram?,extend,Not related,actor,use case,B
198,Use Case Diagram,2,What best describes Use Case Diagram?,Software Maintenance,Class Diagram,actors and use cases,Software Testing,C
199,Use Case Diagram,1,Which concept belongs to Use Case Diagram?,System Testing,generalization,Software Maintenance,Integration Testing,B
200,Use Case Diagram,2,Which concept belongs to Use Case Diagram?,Random guessing,Class Diagram,include,Software Testing,C
201,Class Diagram,2,Which term is most related to Class Diagram?,Bluetooth protocol,association,UML,Unit Testing,B
202,Class Diagram,2,The main purpose of Class Diagram is to:,UML,attributes and methods,Database normalization only,Email SMTP,B
203,Class Diagram,2,Which is NOT related to Class Diagram?,Not related,association,multiplicity,composition,A
204,Class Diagram,1,Which term is most related to Class Diagram?,SDLC,composition,Hardware installation,Network routing,B
205,Class Diagram,3,Which is NOT related to Class Diagram?,multiplicity,Not related,aggregation,generalization,B
206,Class Diagram,2,The main purpose of Class Diagram is to:,classes and relationships,Network routing,Hardware installation,User interface theme,A
207,Class Diagram,3,Which concept belongs to Class Diagram?,composition,DNS resolution,Sequence Diagram,Unit Testing,A
208,Class Diagram,2,Which term is most related to Class Diagram?,Sequence Diagram,composition,SDLC,Version Control,B
209,Class Diagram,2,Which concept belongs to Class Diagram?,Bluetooth protocol,Use Case Diagram,Hardware installation,composition,D
210,Class Diagram,3,Which is NOT related to Class Diagram?,inheritance,composition,Not related,aggregation,C
211,Class Diagram,3,What best describes Class Diagram?,classes and relationships,Unit Testing,System Testing,Random guessing,A
212,Class Diagram,1,The main purpose of Class Diagram is to:,CPU scheduling,attributes and methods,Software Maintenance,System Testing,B
213,Class Diagram,3,The main purpose of Class Diagram is to:,Software Maintenance,classes and relationships,Software Testing,DNS resolution,B
214,Class Diagram,3,What best describes Class Diagram?,Random guessing,Email SMTP,Network routing,classes and relationships,D
215,Class Diagram,1,Which term is most related to Class Diagram?,Integration Testing,Use Case Diagram,aggregation,Bluetooth protocol,C
216,Class Diagram,2,Which term is most related to Class Diagram?,multiplicity,Version Control,User interface theme,Cooking recipe,A
217,Class Diagram,3,Which concept belongs to Class Diagram?,generalization,Sequence Diagram,Email SMTP,SDLC,A
218,Class Diagram,2,What best describes Class Diagram?,CPU scheduling,SDLC,Software Testing,classes and relationships,D
219,Class Diagram,3,What best describes Class Diagram?,Sequence Diagram,Unit Testing,classes and relationships,Agile Model,C
220,Class Diagram,3,Which term is most related to Class Diagram?,Scrum,UML,composition,CPU scheduling,C
221,Class Diagram,2,The main purpose of Class Diagram is to:,Email SMTP,Cooking recipe,DNS resolution,classes and relationships,D
222,Class Diagram,1,Which term is most related to Class Diagram?,CPU scheduling,inheritance,Database normalization only,Cooking recipe,B
223,Class Diagram,3,Which concept belongs to Class Diagram?,Database normalization only,Random guessing,association,Scrum,C
224,Class Diagram,1,What best describes Class Diagram?,Software Testing,Integration Testing,Network routing,classes and relationships,D
225,Class Diagram,2,Which concept belongs to Class Diagram?,UML,CPU scheduling,System Testing,generalization,D
226,Class Diagram,2,The main purpose of Class Diagram is to:,Sequence Diagram,classes and relationships,Software Testing,System Testing,B
227,Class Diagram,2,What best describes Class Diagram?,Network routing,classes and relationships,DNS resolution,Database normalization only,B
228,Class Diagram,2,What best describes Class Diagram?,DNS resolution,classes and relationships,Random guessing,Software Maintenance,B
229,Class Diagram,1,What best describes Class Diagram?,classes and relationships,Unit Testing,User interface theme,SDLC,A
230,Class Diagram,2,Which is NOT related to Class Diagram?,multiplicity,Not related,association,composition,B
231,Class Diagram,2,What best describes Class Diagram?,CPU scheduling,Use Case Diagram,classes and relationships,Integration Testing,C
232,Class Diagram,2,What best describes Class Diagram?,classes and relationships,Software Maintenance,Random guessing,Email SMTP,A
233,Class Diagram,1,Which is NOT related to Class Diagram?,composition,inheritance,Not related,multiplicity,C
234,Class Diagram,3,What best describes Class Diagram?,Hardware installation,CPU scheduling,Cooking recipe,classes and relationships,D
235,Class Diagram,3,Which term is most related to Class Diagram?,Bluetooth protocol,Scrum,inheritance,User interface theme,C
236,Class Diagram,3,What best describes Class Diagram?,DNS resolution,UML,classes and relationships,CPU scheduling,C
237,Class Diagram,2,Which concept belongs to Class Diagram?,Software Testing,Database normalization only,Scrum,association,D
238,Class Diagram,3,Which is NOT related to Class Diagram?,multiplicity,aggregation,inheritance,Not related,D
239,Class Diagram,1,Which term is most related to Class Diagram?,CPU scheduling,Database normalization only,UML,composition,D
240,Class Diagram,3,Which concept belongs to Class Diagram?,Software Testing,Email SMTP,association,UML,C
241,Sequence Diagram,1,Which is NOT related to Sequence Diagram?,message,return,Not related,activation,C
242,Sequence Diagram,2,Which term is most related to Sequence Diagram?,Software Maintenance,Random guessing,Unit Testing,loop,D
243,Sequence Diagram,2,Which is NOT related to Sequence Diagram?,Not related,loop,alt,message,A
244,Sequence Diagram,2,Which term is most related to Sequence Diagram?,DNS resolution,return,Use Case Diagram,Version Control,B
245,Sequence Diagram,1,Which concept belongs to Sequence Diagram?,Class Diagram,sync,Random guessing,Hardware installation,B
246,Sequence Diagram,2,Which term is most related to Sequence Diagram?,lifeline,Integration Testing,Use Case Diagram,User interface theme,A
247,Sequence Diagram,2,The main purpose of Sequence Diagram is to:,Hardware installation,Cooking recipe,Unit Testing,message flow over time,D
248,Sequence Diagram,2,What best describes Sequence Diagram?,Integration Testing,Version Control,Software Maintenance,message flow over time,D
249,Sequence Diagram,2,Which is NOT related to Sequence Diagram?,sync,alt,loop,Not related,D
250,Sequence Diagram,3,Which is NOT related to Sequence Diagram?,lifeline,async,Not related,return,C
251,Sequence Diagram,3,Which concept belongs to Sequence Diagram?,System Testing,sync,Cooking recipe,CPU scheduling,B
252,Sequence Diagram,3,Which term is most related to Sequence Diagram?,UML,User interface theme,alt,SDLC,C
253,Sequence Diagram,2,Which term is most related to Sequence Diagram?,Scrum,activation,Use Case Diagram,Unit Testing,B
254,Sequence Diagram,1,Which term is most related to Sequence Diagram?,Database normalization only,UML,Version Control,return,D
255,Sequence Diagram,1,Which term is most related to Sequence Diagram?,Bluetooth protocol,Cooking recipe,Database normalization only,return,D
256,Sequence Diagram,1,Which term is most related to Sequence Diagram?,Software Testing,System Testing,loop,Class Diagram,C
257,Sequence Diagram,2,Which concept belongs to Sequence Diagram?,Cooking recipe,Use Case Diagram,Software Maintenance,sync,D
258,Sequence Diagram,3,Which term is most related to Sequence Diagram?,loop,SDLC,Database normalization only,Hardware installation,A
259,Sequence Diagram,1,What best describes Sequence Diagram?,message flow over time,SDLC,CPU scheduling,Cooking recipe,A
260,Sequence Diagram,2,Which concept belongs to Sequence Diagram?,Class Diagram,User interface theme,return,Network routing,C
261,Sequence Diagram,3,What best describes Sequence Diagram?,Unit Testing,Scrum,Hardware installation,message flow over time,D
262,Sequence Diagram,2,Which concept belongs to Sequence Diagram?,async,Random guessing,User interface theme,Bluetooth protocol,A
263,Sequence Diagram,2,The main purpose of Sequence Diagram is to:,Cooking recipe,Class Diagram,CPU scheduling,object interactions,D
264,Sequence Diagram,2,Which term is most related to Sequence Diagram?,Bluetooth protocol,message,UML,Network routing,B
265,Sequence Diagram,2,The main purpose of Sequence Diagram is to:,object interactions,UML,User interface theme,Software Testing,A
266,Sequence Diagram,2,Which is NOT related to Sequence Diagram?,async,Not related,alt,activation,B
267,Sequence Diagram,1,Which concept belongs to Sequence Diagram?,Cooking recipe,async,Agile Model,CPU scheduling,B
268,Sequence Diagram,2,Which is NOT related to Sequence Diagram?,Not related,activation,sync,return,A
269,Sequence Diagram,2,The main purpose of Sequence Diagram is to:,object interactions,UML,System Testing,Random guessing,A
270,Sequence Diagram,2,Which is NOT related to Sequence Diagram?,sync,Not related,alt,message,B
271,Sequence Diagram,1,The main purpose of Sequence Diagram is to:,object interactions,DNS resolution,Class Diagram,CPU scheduling,A
272,Sequence Diagram,3,The main purpose of Sequence Diagram is to:,DNS resolution,Integration Testing,Database normalization only,object interactions,D
273,Sequence Diagram,2,Which term is most related to Sequence Diagram?,Unit Testing,Email SMTP,Random guessing,alt,D
274,Sequence Diagram,1,What best describes Sequence Diagram?,Email SMTP,message flow over time,Agile Model,DNS resolution,B
