topic,definition,advantages,disadvantages,real_world_use,example,interview_questions
Use Case Modeling,Use case modeling captures system interactions with actors to describe functional behavior.,Clarifies interactions; helps scope; supports UML diagrams.,Can become large; needs maintenance with changes.,Used in analysis for business systems and requirements.,Use case: �Place Order� with actor �Customer�.,What is an actor?; Include vs extend?; Use case vs user story?
UML,UML (Unified Modeling Language) is a standard set of diagrams for visualizing and documenting software systems.,Improves communication; helps design; supports documentation.,Can be time-consuming; diagrams can become outdated.,"Used in system design, documentation, and architecture discussions.",Using class and sequence diagrams for order processing module.,Why use UML?; Common UML diagrams?; When not to over-document?
Use Case Diagram,A use case diagram shows actors and their interactions (use cases) with the system.,High-level view; easy for stakeholders.,Not detailed; needs use case descriptions.,Used for requirement overview.,"Actors: Student, Admin; Use cases: Login, Take Quiz.",Include vs extend?; What does a use case represent?
Class Diagram,"A class diagram shows classes, attributes, methods, and relationships (inheritance, association).",Clarifies structure; helps OOP design.,May miss runtime behavior; can be complex.,Used for OO system design.,"Classes: User, Quiz, Attempt with relationships.",Association vs aggregation vs composition?; What is inheritance?
Sequence Diagram,A sequence diagram shows object interactions over time (messages).,Clarifies flow; good for APIs and processes.,Can be large; requires updates when logic changes.,Used for describing request/response flows.,Login: UI ? API ? DB ? API ? UI.,What is lifeline?; What is synchronous vs asynchronous message?
Activity Diagram,An activity diagram models workflows and decision points.,Great for business flows; shows branching and parallel steps.,May become complex for large workflows.,Used for process modeling.,Checkout process with decisions for payment success/failure.,When to use activity diagram?; How to model decisions?
ER Diagram,"An ER diagram models database entities, attributes, and relationships.",Helps database design; reduces redundancy.,Needs normalization knowledge; changes require updates.,Used in relational database design.,"Entities: Student, Course, Enrollment.",One-to-many vs many-to-many?; What is primary key?
Database Normalization,"Normalization organizes tables to reduce redundancy and improve data integrity (1NF, 2NF, 3NF).",Less duplication; fewer anomalies; better consistency.,More joins; can reduce read performance.,Used in OLTP databases.,Splitting user_address into separate table to avoid repeating addresses.,What are anomalies?; Explain 1NF/2NF/3NF; When to denormalize?
SQL Joins,"SQL joins combine rows from tables based on related keys (INNER, LEFT, RIGHT, FULL).",Powerful querying; supports relational data.,Complex queries; performance issues if unindexed.,Used in reporting and APIs.,Join users and quiz_attempts to show user scores.,INNER vs LEFT join?; When to use joins?; Index impact?
REST API,REST is an architectural style for building web APIs using HTTP methods and stateless operations.,Simple and scalable; widely adopted; uses standard HTTP.,Requires good design; versioning challenges.,Used in web/mobile backends.,GET /api/quiz/start?topic=SDLC,What is stateless?; Idempotency?; REST vs SOAP?
HTTP Methods,"HTTP methods define actions: GET, POST, PUT, PATCH, DELETE.",Clear semantics; supports REST design.,Misuse causes confusion; security must be enforced.,Used in web APIs.,POST /auth/login; GET /progress,PUT vs PATCH?; Which is idempotent?; Safe methods?
Authentication,"Authentication verifies identity (login) using passwords, tokens, OAuth, etc.",Secures access; enables personalization.,Adds complexity; token storage risks.,Used in all user systems.,JWT login for student portal.,Session vs JWT?; Where to store tokens?; What is OAuth?
Authorization,Authorization determines what an authenticated user can access based on roles/permissions.,Protects resources; supports admin/user separation.,Role explosion if unmanaged; needs careful design.,Used for admin dashboards and protected routes.,Admin can delete users; student cannot.,AuthN vs AuthZ?; RBAC?; How to enforce on backend?
JWT,JWT is a token format used to securely transmit claims (user id/role) between client and server.,Stateless; scalable; easy to integrate.,Token revocation hard; must secure secrets; expiry needed.,Used in SPAs with APIs.,Store JWT and send in Authorization header.,What is a JWT structure?; How to secure JWT?; Refresh tokens?
RBAC,"Role-Based Access Control assigns permissions based on roles like admin, student.",Simple permission model; easy auditing.,Too coarse for complex systems.,Used in admin/student separation.,"Roles: admin, student; middleware requireAdmin.",RBAC vs ABAC?; How to prevent privilege escalation?
Software Architecture,"Software architecture is the high-level structure of a system, its components, and how they interact.",Guides scalability; improves maintainability; helps planning.,Wrong architecture is costly; needs experience.,Used in system design decisions.,Choosing microservices vs monolith for a platform.,What are architectural styles?; What is trade-off analysis?
Monolithic Architecture,A monolith is a single deployable application containing many modules.,Simple deployment; easier debugging initially.,Hard to scale parts independently; large codebase complexity.,Used in small/medium apps or early stages.,"Single Node.js API handling auth, chat, quiz, admin.",When to choose monolith?; Scaling monolith?; Monolith vs microservices?
Microservices,Microservices split a system into small independent services communicating over APIs.,Independent scaling; team autonomy; fault isolation.,Distributed complexity; monitoring and DevOps needs.,Used in large systems with many teams.,"Auth service, Quiz service, Recommendation service separately.",Microservices pros/cons?; Data consistency?; Service communication?
Design Patterns,"Design patterns are reusable solutions to common design problems (e.g., Singleton, Factory, Observer).",Improves code quality; shared vocabulary.,Overuse adds complexity.,Used in OOP and architecture.,Factory to create notification providers (email/sms).,What is Factory pattern?; Observer use case?; Anti-patterns?
MVC,"MVC separates application into Model, View, Controller to organize code.",Separation of concerns; easier maintenance.,Can be overkill for small apps.,Used in web frameworks and apps.,React UI (View) + API (Controller) + DB models.,What is MVC?; MVC in React?; Why separation helps?
SOLID Principles,"SOLID are 5 OOP principles: SRP, OCP, LSP, ISP, DIP.",Improves maintainability; reduces coupling.,Needs practice; can be misunderstood.,Used in OOP design and code reviews.,Applying SRP by separating validation and persistence logic.,Explain SRP?; What is DIP?; Benefits of SOLID?
Git Version Control,Git is a distributed version control system for tracking code changes and collaboration.,History tracking; branching; collaboration.,Merge conflicts; learning curve.,Used in almost all software projects.,Feature branch workflow with pull requests.,What is commit?; What is merge conflict?; Git rebase vs merge?
Branching Strategy,"Branching strategy defines how teams use branches (main, develop, feature, release).",Improves collaboration; reduces unstable code.,Too many branches complicate workflow.,Used in team projects and CI/CD.,GitFlow or trunk-based development.,GitFlow vs trunk-based?; Why PR reviews?
Code Review,Code review is the practice of reviewing code changes before merging.,Improves quality; knowledge sharing; reduces bugs.,Slows delivery if process heavy.,Used in PR-based workflows.,Review PR for auth middleware and routes.,What to check in code review?; Best practices?
Unit Testing,Unit testing tests small parts of code (functions/classes) in isolation.,Fast feedback; catches regressions; supports refactoring.,Requires writing tests; mocking complexity.,Used in CI pipelines.,Test score calculation function with jest/pytest.,What makes a good unit test?; Mocking?; AAA pattern?
Integration Testing,Integration testing checks interactions between modules/services.,Catches API contract issues; more realistic.,Slower than unit tests; environment setup.,"Used for APIs, DB interactions.",Test /quiz/submit with a test DB.,Unit vs integration tests?; Test data management?
System Testing,System testing tests the complete application end-to-end.,Validates real user flows.,Slow; brittle; needs stable environment.,Used before release.,Login ? chat ? quiz ? progress flow test.,E2E vs system test?; When to run system tests?
Regression Testing,Regression testing ensures changes didn�t break existing features.,Protects stability.,Test suites can grow and slow down.,Used after fixes/features.,"After adding theory quiz, ensure normal quiz still works.",What is regression?; How to automate regression?
Test Case Design,"Test case design creates cases with inputs, steps, expected outputs.",Improves coverage; systematic validation.,Time-consuming; needs updates when requirements change.,Used in QA and validation.,Test login with valid/invalid credentials.,Boundary value analysis?; Equivalence partitioning?
Debugging,"Debugging is finding and fixing defects using logs, breakpoints, and analysis.",Improves reliability; supports learning.,Time-consuming without good tools.,Used during development and support.,Using console logs and debugger to trace 401 errors.,How to debug Node errors?; Logging best practices?
Error Handling,Error handling ensures failures are caught and meaningful messages are returned.,Better UX; easier troubleshooting.,If done poorly can hide issues.,Used in APIs and UI.,Return 400 for bad input; 500 for server errors.,400 vs 500?; How to design API errors?
Logging & Monitoring,Logging records events; monitoring tracks system health and alerts.,Faster issue detection; supports reliability.,Storage cost; needs discipline.,Used in production systems.,Monitor API latency and error rate.,What to log?; Metrics vs logs?; Alerts?
Performance Optimization,"Performance optimization improves speed and resource usage (CPU, memory, DB queries).",Better UX; lower costs.,Premature optimization can waste time.,Used when scaling systems.,Index DB fields used in queries.,How to profile performance?; DB indexing?; Caching?
Caching,Caching stores frequently used data to reduce repeated work.,Faster response; reduced load.,Cache invalidation complexity.,Used in web apps and APIs.,Cache lessons/resources to avoid re-reading CSV repeatedly.,What is cache invalidation?; Where to cache?
Concurrency,Concurrency means handling multiple tasks at the same time (threads/async).,Better throughput; responsive systems.,Race conditions; complexity.,Used in servers and async operations.,Node handles concurrent requests using event loop.,What is async?; Race condition?; Deadlock?
Security Fundamentals,"Security fundamentals include input validation, authentication, authorization, encryption, and secure coding.",Protects users and data.,Requires constant attention; evolving threats.,Used in all web apps.,"Hash passwords with bcrypt, validate inputs, use HTTPS.",SQL injection?; XSS?; CSRF?
OWASP Top 10,OWASP Top 10 is a list of common web application security risks.,Guides security priorities.,Requires effort to implement mitigations.,Used for security audits.,Prevent injection by validation and parameterized queries.,Name OWASP risks?; How to prevent XSS?
SQL Injection,SQL injection is an attack where malicious SQL is inserted into queries.,Can lead to data theft and damage.,Happens if inputs are not handled safely.,Used in security education and prevention.,Using parameterized queries prevents injection.,What is SQL injection?; How to prevent it?
XSS,Cross-site scripting (XSS) injects malicious scripts into web pages.,Steals tokens/session; defaces pages.,Occurs if untrusted input is rendered unsafely.,Used in web security.,Escape output and avoid dangerouslySetInnerHTML.,Stored vs reflected XSS?; How to prevent XSS?
CSRF,CSRF tricks a user�s browser into making unwanted requests.,Can perform actions without user intent.,Needs anti-CSRF tokens and same-site cookies.,Used in secure web apps.,CSRF token in forms for state-changing requests.,What is CSRF?; How to prevent it?
Software Maintenance,"Software maintenance includes fixing bugs, improving performance, and adapting to new requirements.",Keeps systems useful; improves quality over time.,Can be costly; legacy constraints.,Used in long-running systems.,Refactor old module to improve readability and tests.,Types of maintenance?; Refactoring vs rewriting?
Refactoring,Refactoring is improving code structure without changing behavior.,Improves readability; reduces technical debt.,Risk if tests are missing.,Used continuously in development.,"Extract function, rename variables, remove duplication.",What is refactoring?; Safe refactoring steps?
Technical Debt,Technical debt is the cost of quick/poor solutions that require future rework.,Explains long-term cost; supports planning.,Hard to measure precisely.,Used in project management.,Skipping tests now causes bugs later and slows releases.,Examples of technical debt?; How to reduce it?
Project Estimation,"Project estimation predicts effort/time using techniques like story points, planning poker.",Helps planning; sets expectations.,Often inaccurate; uncertainty high.,Used in Agile planning and project management.,Estimate user story complexity and assign points.,Story points vs hours?; Planning poker?
Risk Management,Risk management identifies and mitigates project risks.,Prevents surprises; improves delivery reliability.,Needs continuous review.,Used in project planning.,Risk: key developer leaves; mitigation: documentation and pairing.,Risk vs issue?; Risk mitigation strategies?
Software Metrics,"Software metrics measure quality and productivity (defect density, velocity, coverage).",Supports decisions; tracks improvement.,Metrics can be gamed; may mislead.,Used in engineering management.,Tracking test coverage and bug rates per release.,What is defect density?; What is velocity?; Pros/cons of metrics?
Deployment,Deployment is releasing software to an environment (staging/production) safely.,Delivers value; can be automated.,Risk of downtime; needs rollback plan.,Used in DevOps and releases.,Blue-green deployment to reduce downtime.,Deployment strategies?; Rollback plan?; Staging vs production?
Release Management,"Release management plans, schedules, and controls moving releases to production.",Controlled releases; reduces risk.,Process overhead if too heavy.,Used in organizations with multiple teams.,Release notes and approval process for production release.,What is release vs deployment?; Versioning strategies?
